division,areaname,population density,,,,,,,,,,,,,,,
11,Beijing,1167,,,,,,,,,,,,,,,
12,Tianjin,1085,,,,,,,,,,,,,,,
13,Hebei,378,,,,,,,,,,,,,,,
14,Shanxi,229,,,,,,,,,,,,,,,
15,Neimenggu,20.9,,,,,,,,,,,,,,,
21,Liaoning,296,,,,,,,,,,,,,,,
22,Jilin,147,,,,,,,,,,,,,,,
23,Heilongjiang,81.7,,,,,,,,,,,,,,,
31,Shanghai,3701,,,,,,,,,,,,,,,
32,Jiangsu,767,,,,,,,,,,,,,,,
33,Zhejiang,523,,,,,,,,,,,,,,,
34,Anhui,463,,,,,,,,,,,,,,,
35,Fujian,307,,,,,,,,,,,,,,,
36,Jiangxi,267,,,,,,,,,,,,,,,
37,Shandong,610,,,,,,,,,,,,,,,
41,Henan,563,,,,,,,,,,,,,,,
42,Hubei,305,,,,,,,,,,,,,,,
43,Hunan,310,,,,,,,,,,,,,,,
44,Guangdong,564,,,,,,,,,,,,,,,
45,Guangxi,194,,,,,,,,,,,,,,,
46,Hainan,255,,,,,,,,,,,,,,,
50,Chongqing,350,,,,,,,,,,,,,,,
51,Sichuan,165,,,,,,,,,,,,,,,
52,Guizhou,204,,,,,,,,,,,,,,,
53,Yunnan,117,,,,,,,,,,,,,,,
54,Xizang,2.46,,,,,,,,,,,,,,,
61,Shanxi,181,,,,,,,,,,,,,,,
62,Gansu,56.3,,,,,,,,,,,,,,,
63,Qinghai,7.8,,,,,,,,,,,,,,,
64,Ningxia,94.9,,,,,,,,,,,,,,,
65,Xinjiang,13.1,,,,,,,,,,,,,,,
71,Taiwan,652,,,,,,,,,,,,,,,
81,Hongkong,6697,,,,,,,,,,,,,,,
82,Macao,20027,,,,,,,,,,,,,,,
